"日付","始値","高値","安値","終値","前日比","出来高","売買代金","貸株残高","融資残高","貸借倍率","逆日歩","特別空売り料","5DMA","25DMA","75DMA","100DMA","200DMA","5DVMA","25DVMA","75DVMA"
"2019/09/06","41,400.0","41,960.0","41,340.0","41450.0","+490.0","1,355,200","56,429,068","116,200","36,200","0.31","-","-","40,980.00","40,070.00","39,676.80","38,912.10","35,288.65","1,453,800","1,266,200","1,319,310"
"2019/09/05","41,350.0","41,540.0","40,810.0","40960.0","-620.0","2,173,800","89,208,411","84,800","45,600","0.54","0.70","-","40,748.00","40,069.60","39,634.53","38,830.00","35,261.35","1,349,260","1,308,072","1,319,630"
"2019/09/04","40,770.0","41,770.0","40,730.0","41580.0","+1,050.0","2,065,100","85,654,113","259,100","21,600","0.08","0.70","-","40,592.00","40,035.20","39,594.80","38,746.50","35,233.25","1,054,900","1,322,652","1,309,158"
"2019/09/03","40,400.0","40,640.0","40,270.0","40530.0","+150.0","665,200","26,939,866","73,000","19,900","0.27","0.70","-","40,346.00","39,995.60","39,549.87","38,662.80","35,200.30","847,820","1,275,868","1,298,976"
"2019/09/02","40,290.0","40,730.0","40,260.0","40380.0","+90.0","1,009,700","40,876,918","25,200","17,900","0.71","0.00","-","40,290.00","39,987.20","39,512.00","38,582.00","35,177.50","936,140","1,283,192","1,311,376"
"2019/08/30","40,460.0","40,580.0","40,160.0","40290.0","+110.0","832,500","33,575,826","20,700","27,700","1.34","-","-","40,178.00","39,980.80","39,465.33","38,502.60","35,152.20","1,033,080","1,276,772","1,317,888"
"2019/08/29","40,530.0","40,540.0","40,100.0","40180.0","-170.0","702,000","28,272,232","14,700","35,900","2.44","-","-","40,316.00","39,976.40","39,426.93","38,419.80","35,126.55","1,146,680","1,280,316","1,321,774"
"2019/08/28","40,550.0","40,850.0","40,290.0","40350.0","+100.0","1,029,700","41,723,284","19,900","22,600","1.14","-","-","40,316.00","39,963.20","39,384.80","38,337.20","35,101.90","1,196,080","1,294,336","1,334,874"
"2019/08/27","40,200.0","40,350.0","39,950.0","40250.0","+430.0","1,106,800","44,493,864","20,100","20,700","1.03","-","-","40,292.00","39,947.20","39,340.00","38,249.30","35,073.50","1,164,580","1,300,164","1,336,405"
"2019/08/26","40,200.0","40,440.0","39,680.0","39820.0","-1,160.0","1,494,400","59,706,000","12,600","79,700","6.33","-","-","40,244.00","39,945.60","39,296.67","38,164.10","35,046.30","1,072,920","1,309,052","1,345,602"
"2019/08/23","40,220.0","41,010.0","40,140.0","40980.0","+800.0","1,400,500","57,105,695","211,100","13,300","0.06","0.70","-","40,272.00","40,000.40","39,255.87","38,079.40","35,024.45","942,580","1,285,100","1,345,378"
"2019/08/22","40,380.0","40,600.0","40,050.0","40180.0","-50.0","949,000","38,257,821","23,800","19,800","0.83","0.00","-","40,020.00","39,999.20","39,204.53","37,988.60","35,005.25","862,120","1,278,076","1,349,798"
"2019/08/21","39,800.0","40,280.0","39,670.0","40230.0","+220.0","872,200","34,924,656","31,300","19,700","0.63","0.00","-","39,964.00","40,046.00","39,165.07","37,891.30","34,991.95","1,015,160","1,281,120","1,373,134"
"2019/08/20","40,110.0","40,200.0","39,850.0","40010.0","+50.0","648,500","25,947,442","15,200","23,500","1.55","-","-","39,932.00","40,101.20","39,135.33","37,796.00","34,981.05","1,187,960","1,280,856","1,424,397"
"2019/08/19","40,300.0","40,340.0","39,920.0","39960.0","+240.0","842,700","33,806,554","18,500","20,800","1.12","-","-","39,612.00","40,166.80","39,115.33","37,700.70","34,971.35","1,281,180","1,306,428","1,458,781"
"2019/08/16","39,700.0","40,110.0","39,650.0","39720.0","-180.0","998,200","39,759,734","14,100","20,800","1.48","-","-","39,508.00","40,234.80","39,089.20","37,616.00","34,969.75","1,330,580","1,385,388","1,489,546"
"2019/08/15","39,000.0","39,920.0","38,770.0","39900.0","-170.0","1,714,200","67,511,702","19,500","57,700","2.96","-","-","39,428.00","40,246.00","39,055.20","37,539.00","34,970.00","1,341,600","1,395,364","1,520,769"
"2019/08/14","39,200.0","40,100.0","39,130.0","40070.0","+1,660.0","1,736,200","68,921,096","45,400","18,900","0.42","0.70","-","39,284.00","40,271.60","39,037.33","37,450.90","34,968.15","1,245,080","1,362,652","1,553,484"
